ID,LaptopName,ScreenSize,RAM,Cost,Color,GraphicCard,Gcompany,Memory,Processor,Rating,Accessories
1,Asus ROG G703GI-E5148T,17.3,64,599990,Black,8GB,NVIDIA GTX 1050,2TB,Intel Core i9,4.2,
2,Acer Nitro 5 AN515-52,15.6,8,"74,999",Shadow Black,4GB,NVDIA  GTX 1050,1TB,Intel Core i5,4,
3,Omen by HP,15.6,8,106418,Shadow Black,4GB,NVDIA  GTX 1650,1TB,Intel Core i7,3.9,
4,HP Pavilion Gaming,15.6,4,69071,Black,4GB,NVDIA GTX 1050,512GB,Intel Core i5,4.1,
5,Lenovo Legion Y540,15.6,16,155290,Black,6GB,NVDIA GTX 1660,1TB,Intel Core i7,4,
6,ASUS TUF Gaming FX505DT,15.6,8,75990,Stealth Black,4GB,NVDIA GTX 1650,512GB,AMD Ryzen 5-3550H,4,
7,Acer Nitro 7,15.6,4,99999,Obsidian Black,4GB,NVDIA GTX 1650,1TB,Intel Core i5,4.5,
8,MSI Gaming GL65 9SCK-009IN,15.6,8,99990,Black,4GB,NVDIA GTX 1650,512GB,Intel Core i7,4.4,
9,HP Pavilion 15-dk0045TX ,15.6,8,81857,Shadow Black,4GB,NVDIA GTX 1050,1TB,Intel Core i5,4,
10,MSI Gaming GL63 9SD-1045IN,15.6,8,109990,Black,6GB,NVDIA GTX 1660,1TB,Intel Core i5,3.7,
11,Lenovo Legion Y7000,15.6,8,92990,Black,3GB,NVDIA GTX 1050,1TB,Intel Core i5,4,
12,Acer Predator Helios 300,15.6,16,141823,Black,6GB,NVDIA GTX 1050,2TB,Intel Core i7,4.5,
13,ASUS ROG Strix G G731GT,17.3,16,120000,Black,4GB,NVDIA GTX 1650,1TB,Intel Core i7,3,
14,ASUS ROG Strix Scar III G531GV,15.6,16,201990,Scar Gunmetal,6GB,NVDIA RTX 2060,1TB,Intel Core i7,4.5,
15,HP Omen 15-dh0137TX,15.6,16,184049,Shadow Black,6GB,NVDIA RTX 2060,1TB,Intel Core i7,4.6,
16,HP Omen 15-dh0139TX,15.6,16,277615,Shadow Black,8GB,NVDIA RTX 2080,1TB,Intel Core i9,4.3,
17,Omen X 2S by HP,15.6,16,359000,Stealth Black,8GB,NVDIA RTX 2080,2TB,Intel Core i9,4.6,
18,Lenovo Ideapad L340,15.6,8,88090,Black,3GB,NVDIA GTX 1050,1TB,Intel Core i5,4.1,
19,ASUS TUF FX505DY-BQ002T,15.6,8,68990,Black,4GB,Radeon RX 560X,1TB,AMD Ryzen 5-3550H,4.1,
20,Acer Predator G9-793,15.6,16,219999,Black,8GB,NVDIA GTX 1070,2TB,Intel Core i7,3.3,
21,Asus Laptop X512DA-EJ503T,15.6,4,42999,Peacock Blue,4GB,NVDIA GTX 1050,512GB,Intel core i5,3.4,
22,HP 15,17.3,6,48490,Stealth Black,4GB,NVDIA GTX 1060,1TB,Intel Core i5,3.5,
23,Lenovo IdeaPad S145,15.6,4,39699,Black,4GB,Radeon RX 560X,512GB,Intel Core i5,3.6,
